figi,ticker,name,issue_size,currency,uid,assetUid
BBG000LWNRP3,RKKE,РКК Энергия им.С.П.Королева,1842049,,303100b7-4c5c-4fea-8834-d0b675855527,1d886f38-7ed5-41bb-97de-199746df7246
BBG000VH7TZ8,MRKC,Россети Центр,42217941468,,e79680ec-c32b-4b14-bf6f-8ef6e143a41b,188f2264-e86c-477c-99d0-1233b56ba753
BBG002B9MYC1,KAZT,КуйбышевАзот,176582530,,31defde8-cdc3-42bb-96bd-e2b42e825b62,c7c8d0b0-6bb7-4b69-8341-13d2d91e6f8d
BBG002B298N6,YAKG,ЯТЭК,826919375,,6e24431b-12fc-423b-b566-f2919ebd5a53,f8eb2e95-6783-43ef-ba32-53981256bbd9
BBG000Q7GG57,TGKB,ТГК-2,1458404850747,,ba9b6eb4-614c-4be8-bdba-dd86cdfece64,55bb33e5-da31-46bb-8693-d3e9789d9302
BBG00F9XX7H4,RNFT,РуссНефть,294120000,,c7485564-ed92-45fd-a724-1214aa202904,0825af01-3cd6-4b41-bfe6-a6e6973e8191
TCS03A0ZYD22,GTRK,ГТМ,58462120,,9e69afb6-4561-4fc2-b63b-b181e3f9ecdc,53de5667-550e-497c-9204-a68ca94cd695
BBG004S681B4,NLMK,НЛМК,5993227240,,161eb0d0-aaac-4451-b374-f5d0eeb1b508,fb0fb8a8-fcd5-4f78-b5aa-73b3be9f4454
BBG000TY1CD1,BELU,Novabev Group,126400000,,974077c4-d893-4058-9314-8f1b64a444b8,f4a0d2ed-a011-4ea3-a530-367e8fd0cdfb
BBG000QF1Q17,FESH,ДВМП,2951250000,,11bc2246-6fde-4478-93f1-4ab90ceb4a51,5bed2760-74b8-498f-9e3f-0bdb5002e551
BBG0100R9963,SGZH,Сегежа,78450000000,,7bedd86b-478d-4742-a28c-29d27f8dbc7d,9f1ce2d9-a6e9-421f-8451-14207ba5830a
BBG000VJMH65,MRKS,Россети Сибирь,94815163249,,b135075c-3a05-42cf-8f55-86674d63a49d,190c521c-6374-4e8b-93c6-eabf7aa7fa4c
BBG004731032,LKOH,ЛУКОЙЛ,692865762,,02cfdf61-6298-4c0f-a9ca-9cabc82afaf3,f898047a-dac8-4717-a40f-7f11211139ef
TCS00A107J11,DELI,Делимобиль,175849057,,df58ca03-aed0-4e1c-97fb-54a01dfb539e,8f07f088-1126-4f9b-bb3b-97deddab9391
TCS00A0JVJQ8,MGKL,МГКЛ,1268545000,,4dc99cf8-cb71-4dca-a74d-f70483f4d7a7,b27da9b1-d51c-4ae2-91bb-a2873992a46c
TCS009046502,UDMN,Удмуртнефть,3562066,,42f11771-17c4-45d2-8fc5-153585b5c187,6493c12b-0671-4fe2-9d5e-fc0b1663aa92
BBG004S68BR5,NMTP,НМТП,19259815400,,93ed8e88-2de2-4aec-a920-3384d24ecb2a,84cd22cb-6bbf-42cc-944c-e57af772d3d5
BBG000QFH687,TGKA,ТГК-1,3854341416571,,d74daf58-22c3-4e44-8ada-471e404fb795,8558bad9-44a4-4f91-bca7-9c6e8bcd454f
BBG000C7P5M7,MRKY,Россети Юг,151641426354,,c41a8e78-e4ee-4aa1-869a-9eff103b260a,8a41634f-7e22-465c-b8f1-4b9d5292f973
TCS10A10A0J4,JETL,Джетленд Холдинг,100000000,,34f51a49-919b-4eb1-9ed0-59c26f4cdc1e,fbd323fd-389c-494a-8a19-a76f36bceb35
